Date,District,Latitude,Longitude,Temperature_Max_C,Temperature_Min_C,Temperature_Avg_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Weather_Condition,Season
2020-01-01,Kolkata,22.5726,88.3639,23.8,15.0,19.4,74,0,12.7,Partly Cloudy,Winter
2020-01-01,Howrah,22.5958,88.2636,25.2,14.3,19.8,69,0,8.3,Sunny,Winter
2020-01-01,Hooghly,22.9089,88.3967,24.6,12.7,18.6,73,0,8.2,Sunny,Winter
2020-01-01,North 24 Parganas,22.6157,88.4332,23.1,14.5,18.8,69,0.5,11.6,Sunny,Winter
2020-01-01,South 24 Parganas,22.1602,88.4373,23.9,13.7,18.8,68,0,10.0,Sunny,Winter
2020-01-01,Nadia,23.4709,88.5564,26.5,13.4,19.9,69,0,11.8,Cloudy,Winter
2020-01-01,Murshidabad,24.1833,88.2833,24.6,13.5,19.1,66,0,11.1,Partly Cloudy,Winter
2020-01-01,Bardhaman East,23.2324,87.8615,23.8,15.7,19.8,70,0,13.6,Partly Cloudy,Winter
2020-01-01,Bardhaman West,23.5522,87.3784,24.3,15.7,20.0,66,0,8.8,Cloudy,Winter
2020-01-01,Birbhum,23.8404,87.6186,25.0,15.5,20.2,71,0.9,12.7,Drizzle,Winter
2020-01-01,Malda,25.0096,88.1413,26.0,14.9,20.4,64,0,10.0,Sunny,Winter
2020-01-01,Uttar Dinajpur,25.622,88.1413,26.5,14.8,20.6,65,0,10.7,Cloudy,Winter
2020-01-01,Dakshin Dinajpur,25.2195,88.7749,26.7,14.0,20.4,65,0.9,11.7,Drizzle,Winter
2020-01-01,Jalpaiguri,26.5263,88.7184,17.5,9.3,13.4,63,0,13.1,Cloudy,Winter
2020-01-01,Darjeeling,27.041,88.2663,14.5,3.6,9.1,63,0,13.2,Sunny,Winter
2020-01-01,Alipurduar,26.4911,89.5276,17.9,11.7,14.8,72,0,10.6,Sunny,Winter
2020-01-01,Cooch Behar,26.324,89.445,23.5,14.7,19.1,72,1.0,8.8,Drizzle,Winter
2020-01-01,Bankura,23.2324,87.0696,23.1,11.1,17.1,70,6.9,9.5,Light Rain,Winter
2020-01-01,Purulia,23.3321,86.3616,24.1,11.1,17.6,67,0,9.2,Sunny,Winter
2020-01-01,Paschim Medinipur,22.4291,87.3219,22.9,13.8,18.4,63,0,8.1,Sunny,Winter
2020-01-01,Purba Medinipur,22.0209,87.7698,23.2,14.2,18.7,73,0,8.2,Partly Cloudy,Winter
2020-01-01,Jhargram,22.4534,86.9851,22.7,13.3,18.0,69,0,11.7,Cloudy,Winter
2020-01-01,Kalimpong,27.0594,88.4686,14.5,5.3,9.9,66,0.7,8.9,Drizzle,Winter
2020-01-02,Kolkata,22.5726,88.3639,26.4,13.7,20.0,76,0,8.5,Sunny,Winter
2020-01-02,Howrah,22.5958,88.2636,24.5,14.6,19.6,67,0.7,10.0,Drizzle,Winter
2020-01-02,Hooghly,22.9089,88.3967,25.5,12.6,19.1,68,0,13.4,Cloudy,Winter
2020-01-02,North 24 Parganas,22.6157,88.4332,25.0,13.7,19.4,71,1.2,11.6,Drizzle,Winter
2020-01-02,South 24 Parganas,22.1602,88.4373,26.8,14.0,20.4,72,0,10.8,Sunny,Winter
2020-01-02,Nadia,23.4709,88.5564,26.8,12.8,19.8,68,1.6,13.6,Drizzle,Winter
2020-01-02,Murshidabad,24.1833,88.2833,25.9,15.0,20.4,64,0,12.8,Sunny,Winter
2020-01-02,Bardhaman East,23.2324,87.8615,24.5,13.5,19.0,64,1.5,10.8,Drizzle,Winter
2020-01-02,Bardhaman West,23.5522,87.3784,24.4,14.8,19.6,67,1.6,12.0,Drizzle,Winter
2020-01-02,Birbhum,23.8404,87.6186,23.7,15.8,19.8,71,0.9,8.7,Drizzle,Winter
2020-01-02,Malda,25.0096,88.1413,24.4,12.4,18.4,70,0,12.6,Sunny,Winter
2020-01-02,Uttar Dinajpur,25.622,88.1413,25.9,14.4,20.1,70,1.1,13.2,Drizzle,Winter
2020-01-02,Dakshin Dinajpur,25.2195,88.7749,24.1,15.9,20.0,66,0.4,13.3,Sunny,Winter
2020-01-02,Jalpaiguri,26.5263,88.7184,19.9,10.0,14.9,66,1.2,11.2,Drizzle,Winter
2020-01-02,Darjeeling,27.041,88.2663,15.0,6.5,10.8,72,0.5,8.9,Partly Cloudy,Winter
2020-01-02,Alipurduar,26.4911,89.5276,17.0,10.5,13.8,70,6.8,8.2,Light Rain,Winter
2020-01-02,Cooch Behar,26.324,89.445,25.3,13.7,19.5,65,0,13.3,Cloudy,Winter
2020-01-02,Bankura,23.2324,87.0696,24.3,10.9,17.6,64,1.2,12.4,Drizzle,Winter
2020-01-02,Purulia,23.3321,86.3616,24.3,10.0,17.1,65,0,12.0,Cloudy,Winter
